node_index,node_type,asset_value,vulnerability
0,system,10,0.5
1,system,10,0.6
2,system,10,0.7
3,system,10,0.8
4,system,10,0.9
5,system,10,0.4
6,system,10,0.3
7,system,10,0.2
8,system,10,0.1
9,system,10,0.55
10,system,10,0.65
11,system,10,0.75
12,system,10,0.85
13,system,10,0.95
14,system,10,0.45
15,system,10,0.35
16,system,10,0.25
17,system,10,0.15
18,system,10,0.6
19,system,10,0.7
20,system,10,0.8
21,system,10,0.9
22,system,10,0.4
23,system,10,0.3
24,system,10,0.2
25,system,10,0.1
26,system,10,0.55
27,system,10,0.65
28,system,10,0.75
29,system,10,0.85
30,system,10,0.95
31,system,10,0.45
32,system,10,0.35
